name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,risk_free_rate,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,capture_spread,missed_return_while_in_cash,avoided_downside_while_out,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,average_target_exposure,volatility_adjusted_exposure,risk_price_sma_window,risk_drawdown_threshold,risk_volatility_window,risk_max_realized_volatility,risk_sharp_loss_threshold,target_volatility,sizing_window,fallback_asset,fallback_weight,fallback_min_hold_days,fallback_cooldown_days,hybrid_fallback,selection_score
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.45_loss_0.06_vol_40_0.15_cash_fallback_10bps,1.537380133712864,0.1680024451300144,0.1131749246055617,1.3578883542109592,1.527611027469518,1.474149978615308,-0.11396563956662109,14,0.6923076923076923,0.48378557246856385,4.306903433130034,0.07514957807887553,0.11669123939784234,-0.018319159888799813,14.332277803070514,0.06634149295624692,-0.15388246844630227,0.2711934747015504,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.294586449543863,0.24791739421304906,0.04666905533081392,0.9670640776164305,6.442384746822352,52.214285714285715,40.5,2.334931506849315,0.0,0.35707386280570735,0.6555634516749567,200,0.12,40,0.45,-0.06,0.15,40,cash,0.0,0,0,False,1.3732769367029816
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.45_loss_0.08_vol_40_0.15_cash_fallback_10bps,1.5305027621317393,0.1674738565788101,0.11348954609213897,1.3504498240223757,1.517005838886394,1.4695118389688757,-0.11396563956662153,13,0.75,0.485771012574454,4.05243960452848,0.08090684368831347,0.11501613589681761,-0.021421032937198953,16.10792573364914,0.06218828547520783,-0.15441105699750657,0.27119347470155,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2959989148254331,0.24994141330424954,0.04605750152118357,0.9708093054264452,6.424275227721692,56.46153846153846,43.0,2.168150684931507,0.0,0.3582763846906285,0.6555634516749567,200,0.12,40,0.45,-0.08,0.15,40,cash,0.0,0,0,False,1.3730530260744098
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.35_loss_0.06_vol_60_0.15_cash_fallback_10bps,1.4532868776009908,0.1614554275107396,0.11110388106802363,1.3304417754407534,1.4982394813982296,1.5316916617851997,-0.10540987558981807,13,0.6666666666666666,0.46459298477829253,3.8412646014341814,0.08128199556551212,0.1326152869247038,-0.021384587152871254,12.40288493546137,0.05711185641547756,-0.16042948606557705,0.27974923867835344,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2823734567804466,0.23703447789921422,0.045338978881232395,1.0059474628206317,6.533538904070733,54.0,38.0,2.168150684931507,0.0,0.3445804723721984,0.645450124100599,200,0.12,60,0.35,-0.06,0.15,60,cash,0.0,0,0,False,1.3683538481307402
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.08_vol_0.45_loss_0.08_vol_40_0.15_cash_fallback_10bps,1.5049286677546099,0.16549769359537847,0.1127873090486005,1.3431229716805535,1.4986384575972287,1.5576951164376964,-0.10624524134983249,13,0.75,0.47650562541363334,4.131797133879959,0.08132955390891967,0.11688223080463143,-0.02532847677821563,13.843970779777665,0.06280012705511417,-0.15638721998093819,0.278913872918339,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2911794293063366,0.24527421891794404,0.04590521038839257,0.981232006108558,6.4644810087234905,55.38461538461539,43.0,2.168150684931507,0.0,0.35402398101607413,0.6555634516749567,200,0.08,40,0.45,-0.08,0.15,40,cash,0.0,0,0,False,1.3677078677740337
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.35_loss_0.08_vol_60_0.15_cash_fallback_10bps,1.4455945518744189,0.1608472560750016,0.11150841897725199,1.3213229489971825,1.4840678285023918,1.5259220749003197,-0.10540987558981929,12,0.7272727272727273,0.46657842488418266,3.5540968447441137,0.08806281596763892,0.13051080185508757,-0.02513181306555749,13.84813757921289,0.05260887093672517,-0.16103765750131505,0.2797492386783522,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2839597530146088,0.23931481813686006,0.04464493487774873,1.010223447489416,6.513130037224319,58.75,42.0,2.0013698630136987,0.0,0.34593346695472116,0.645450124100599,200,0.12,60,0.35,-0.08,0.15,60,cash,0.0,0,0,False,1.3673622393355735
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.35_loss_0.06_vol_60_0.25_cash_fallback_10bps,2.2845704044766366,0.21937902785342978,0.14962701675033058,1.3467453439972,1.4955028305349496,1.4974985031437646,-0.14649699308071273,13,0.6666666666666666,0.46459298477829253,4.261685830586421,0.1118963988111223,0.18347229603563514,-0.03125539563790339,11.740199878521995,0.08482218072621395,-0.10250588572288688,0.23866212118745878,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.38236822603319937,0.32204282657586136,0.060325399457338,0.6730249256835842,5.8109453583350925,54.0,38.0,2.168150684931507,0.0,0.454603668429919,0.8947301400734535,200,0.12,60,0.35,-0.06,0.25,60,cash,0.0,0,0,False,1.3639439784750134
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.08_vol_0.35_loss_0.08_vol_60_0.15_cash_fallback_10bps,1.4338510722144515,0.15991571067012567,0.11088116019143768,1.3209214770116906,1.4826478923067554,1.5371434547125167,-0.10403434382123677,13,0.6666666666666666,0.4626075446724024,3.7367990503010837,0.08053854895491475,0.13127363665762862,-0.020931626450512997,12.543089947452348,0.05509545989188602,-0.161969202906191,0.28112477044693474,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.28079672873522177,0.23604768394909317,0.044749044786128594,1.0146077097573505,6.5421579624337145,53.76923076923077,34.0,2.168150684931507,0.0,0.34372100217056584,0.645450124100599,200,0.08,60,0.35,-0.08,0.15,60,cash,0.0,0,0,False,1.3620154151106136
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.08_vol_0.45_loss_0.08_vol_60_0.15_cash_fallback_10bps,1.4604603436610968,0.16202114674459,0.11258725170560628,1.3187259387829082,1.4823094812780682,1.5573813492109156,-0.10403434382123677,13,0.6666666666666666,0.47650562541363334,3.741877680434054,0.07962246688709496,0.12989951355589893,-0.020931626450512997,12.41179359501854,0.05576561479866582,-0.15986376683172665,0.28112477044693474,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.288255235848424,0.24378873368320098,0.04446650216522302,1.0025513819240648,6.475566083298453,55.38461538461539,43.0,2.168150684931507,0.0,0.34943471615653804,0.645450124100599,200,0.08,60,0.45,-0.08,0.15,60,cash,0.0,0,0,False,1.3554925665190374
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.35_loss_0.08_vol_60_0.25_cash_fallback_10bps,2.253016926189199,0.21741748233976566,0.15042704163787196,1.3296834784104146,1.4692370252663034,1.4841088391485222,-0.14649699308071273,12,0.7272727272727273,0.46657842488418266,3.9281318927968782,0.12038052243720589,0.17968286347622267,-0.03775905366683885,12.68978578835699,0.0773019980410905,-0.104467431236551,0.23866212118745878,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.3846452761815936,0.32587780893582924,0.05876746724576437,0.6835235121727932,5.777073047929748,58.75,42.0,2.0013698630136987,0.0,0.45656678123971256,0.8947301400734535,200,0.12,60,0.35,-0.08,0.25,60,cash,0.0,0,0,False,1.353049589798809
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_5_risk_sma_200_dd_0.12_vol_0.45_loss_0.06_vol_40_0.15_cash_fallback_10bps,1.5042845769826458,0.16544770674540432,0.11326954302466845,1.3375049308543332,1.5079480289466587,1.3898605764775993,-0.11903906733199643,13,0.6666666666666666,0.485771012574454,4.106411535364051,0.08058223437099958,0.13003293150089928,-0.018319159888799813,14.196385892171875,0.062432169849720776,-0.15643720683091233,0.2661200469361751,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2944857145469349,0.24932061504319356,0.04516509950374134,0.9809348100060198,6.428514014432762,56.46153846153846,43.0,2.168150684931507,0.0,0.3586116910458743,0.6555634516749567,200,0.12,40,0.45,-0.06,0.15,40,cash,0.0,0,0,False,1.3525133876264799
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.45_loss_0.06_vol_40_0.15_cash_fallback_10bps,1.5042845769826458,0.16544770674540432,0.11326954302466845,1.3375049308543332,1.5079480289466587,1.3898605764775993,-0.11903906733199643,13,0.6666666666666666,0.485771012574454,4.106411535364051,0.08058223437099958,0.13003293150089928,-0.018319159888799813,14.196385892171875,0.062432169849720776,-0.15643720683091233,0.2661200469361751,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2944857145469349,0.24932061504319356,0.04516509950374134,0.9809348100060198,6.428514014432762,56.46153846153846,43.0,2.168150684931507,0.0,0.3586116910458743,0.6555634516749567,200,0.12,40,0.45,-0.06,0.15,40,cash,0.0,0,0,False,1.3525133876264799
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_10_risk_sma_200_dd_0.12_vol_0.35_loss_0.06_vol_60_0.25_cash_fallback_10bps,2.2321262075517945,0.21611005473840672,0.14975668608946857,1.3277676227417843,1.4777325875774268,1.425333312790983,-0.15162071411579925,12,0.6363636363636364,0.46657842488418266,3.9281318927968782,0.12190111450625109,0.2094191203029108,-0.03125539563790339,11.725446216577716,0.07697671545372353,-0.10577485883790994,0.23353840015237226,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,10,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.38227299048539615,0.3237938534338227,0.05847913705157343,0.6904708776869863,5.793499406331691,58.75,40.0,2.0013698630136987,0.0,0.45658910853580914,0.8947301400734535,200,0.12,60,0.35,-0.06,0.25,60,cash,0.0,0,0,False,1.348394917346495
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_5_risk_sma_200_dd_0.12_vol_0.35_loss_0.06_vol_60_0.25_cash_fallback_10bps,2.2321262075517945,0.21611005473840672,0.14975668608946857,1.3277676227417843,1.4777325875774268,1.425333312790983,-0.15162071411579925,12,0.6363636363636364,0.46657842488418266,3.9281318927968782,0.12190111450625109,0.2094191203029108,-0.03125539563790339,11.725446216577716,0.07697671545372353,-0.10577485883790994,0.23353840015237226,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.38227299048539615,0.3237938534338227,0.05847913705157343,0.6904708776869863,5.793499406331691,58.75,40.0,2.0013698630136987,0.0,0.45658910853580914,0.8947301400734535,200,0.12,60,0.35,-0.06,0.25,60,cash,0.0,0,0,False,1.348394917346495
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.35_loss_0.06_vol_60_0.25_cash_fallback_10bps,2.2321262075517945,0.21611005473840672,0.14975668608946857,1.3277676227417843,1.4777325875774268,1.425333312790983,-0.15162071411579925,12,0.6363636363636364,0.46657842488418266,3.9281318927968782,0.12190111450625109,0.2094191203029108,-0.03125539563790339,11.725446216577716,0.07697671545372353,-0.10577485883790994,0.23353840015237226,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.38227299048539615,0.3237938534338227,0.05847913705157343,0.6904708776869863,5.793499406331691,58.75,40.0,2.0013698630136987,0.0,0.45658910853580914,0.8947301400734535,200,0.12,60,0.35,-0.06,0.25,60,cash,0.0,0,0,False,1.348394917346495
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_10_risk_sma_200_dd_0.12_vol_0.35_loss_0.06_vol_60_0.15_cash_fallback_10bps,1.4202343209559558,0.1588308684084303,0.11120423088277769,1.308985822426105,1.4772075011415053,1.4404673023165309,-0.11026343198002597,12,0.6363636363636364,0.46657842488418266,3.637620646780361,0.08801000700553376,0.15052120366747948,-0.021384587152871254,12.317848576408988,0.05335901144398747,-0.16305404516788635,0.27489568228814554,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,10,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2822670274015729,0.23848123319481668,0.04378579420675621,1.0202606841472055,6.5192256827441595,58.75,40.0,2.0013698630136987,0.0,0.34612893724083654,0.645450124100599,200,0.12,60,0.35,-0.06,0.15,60,cash,0.0,0,0,False,1.3465774725214155
